"","alue","tunnus","hyöty","väestö","tulot","suomenkieliset","ruotsinkieliset","vieraskieliset","ylempi_kork","perusaste","työttömyys","työvoima","työvoiman_ulkop","alle_15","opiskelijat","eläkeläiset"
"1","Ala-Malmi",382,216120,6968,28263,70.3,2,27.7,13.3,32.9,13.9,48.2,51.8,18.6,8.2,25
"2","Alppikylä",415,128986,1875,31703,77.4,2.2,20.4,11.8,24.8,8.7,58.5,41.5,21.7,7,12.9
"3","Alppila",122,288346,4346,29365,86.8,4.4,8.8,25.6,15.2,11,69.9,30.1,5.3,7.2,17.6
"4","Arabianranta",232,273325,7278,36192,82.5,7.9,9.6,29.5,14.9,4.9,54.4,45.6,16.9,10.6,18.2
"5","Aurinkolahti",546,127775,8172,35760,73.7,4.1,22.2,20.6,23.4,10,52,48,14,6.1,27.8
"6","Eira",60,382471,1050,95927,72.2,20,7.8,44.4,13.9,6.1,53.3,46.7,15.7,6.1,24.9
"7","Etelä-Haaga",291,245075,12555,32913,83,7.8,9.2,29.3,15.6,7.3,59.1,40.9,11.9,8.3,20.7
"8","Etu-Töölö",130,212484,14728,48667,80.4,10.8,8.8,37.9,12.8,5.8,58,42,9.6,9.1,23.3
"9","Hakuninmaa",334,119749,2552,40200,81.5,5.2,13.3,23.7,19.3,5,48.8,51.2,17.9,8.2,25
"10","Harju",121,287988,7244,28780,83.3,4.4,12.3,21.2,17.8,10.4,69.4,30.6,3.8,8.9,17.9
"11","Heikinlaakso",412,96732,2896,38435,82.3,2,15.7,18.5,24,7.6,51.6,48.4,20.7,8.2,19.5
"12","Hermanninmäki",211,411051,5795,32720,86,3.2,10.8,25.3,18.3,10,60.2,39.8,11.9,8.3,19.7
"13","Hernesaari",204,209944,1152,72927,78,10.5,11.5,31.6,15.1,7.9,60.4,39.6,8.7,5.6,25.3
"14","Herttoniemen yritysalue",433,186463,1712,31177,78.4,3.3,18.2,17.7,21.6,7,62.3,37.7,13.7,5.9,18
"15","Herttoniemenranta",434,237685,9235,33939,74.7,3.6,21.6,20.6,24,11.1,55.8,44.2,15.4,7,21.7
"16","Hevossalmi",495,81310,1637,42699,81.1,6.7,12.2,26.7,22.1,7.6,52.2,47.8,20,8.7,19.1
"17","Honkasuo",336,127370,744,36483,81.3,5,13.7,29.2,11.7,6.2,63.2,36.8,24.5,5.2,7.1
"18","Itä-Pakila",342,176385,3392,45095,90.3,3.7,6,27.9,18.3,5.3,50.8,49.2,19.8,7.5,21.9
"19","Itä-Pasila",173,341944,3656,29866,66.5,2.8,30.7,18.9,30.3,11.4,54,46,10.7,8.2,27.1
"20","Itäkeskus",457,122809,4509,26824,53.1,2.5,44.4,9.8,43.1,20.6,45.7,54.3,16.2,8.7,29.5
"21","Jakomäki",414,124556,5281,24255,58.2,1.2,40.6,5.5,42.7,18.8,48.9,51.1,15.8,8.5,26.7
"22","Jollas",492,59953,3066,54656,81.5,6.6,11.9,32.1,20.9,7.2,50.1,49.9,21.3,7.9,20.6
"23","Jätkäsaari",203,166781,14718,37674,71.8,6.9,21.3,25.9,20.1,7.4,59.3,40.7,16.8,9.1,14.9
"24","Kaartinkaupunki",30,346010,1039,93847,73.2,16.1,10.7,37.7,13.9,4.7,55.3,44.7,11.1,7.9,25.7
"25","Kaivopuisto",90,332741,437,185854,60.4,31.6,8,38.3,14,6.1,41.4,58.6,9.8,6.4,42.3
"26","Kalasatama",102,287694,6949,45577,82,3.6,14.3,28.1,15.4,5.2,66.3,33.7,12.3,7.6,13.7
"27","Kallahti",545,97770,6511,26357,55.3,2.8,41.9,10.1,38.9,21.2,45.7,54.3,19.3,8.5,26.5
"28","Kamppi",40,339753,12098,52821,76.4,9.8,13.9,30.5,16,6.7,62.1,37.9,8.6,7.5,21.7
"29","Kannelmäki",331,188549,12930,26988,64.4,3.3,32.3,13.6,32.6,14.3,49.5,50.5,13.9,8.1,28.4
"30","Karhusaari",580,36177,421,102930,75.5,15.9,8.6,33.6,13.5,6.1,58,42,17.3,8.3,16.4
"31","Katajanokka",80,390693,5096,61375,80.4,9,10.6,34.1,16.6,6.7,52,48,12.5,7,28.5
"32","Keski-Pasila",174,263298,1526,39379,79.4,3.3,17.3,25.1,11.9,2.9,74.5,25.5,8.7,7.8,9
"33","Keski-Vuosaari",541,110682,13958,28480,71.6,5.5,23,12,31.2,14.2,49.2,50.8,14.9,6.7,29.2
"34","Kivihaka",292,233600,769,33606,85.2,8.2,6.6,28.7,13.9,9.1,60.1,39.9,9.5,6.1,24.3
"35","Kivikko",474,158535,5309,25823,58.7,1.2,40.1,8.5,38.1,16.5,48.4,51.6,17.8,11.3,22.5
"36","Kluuvi",20,297938,666,73854,77.3,7.4,15.3,39,14.8,5.8,59.5,40.5,8.9,4.8,26.9
"37","Konala",320,159372,6504,32118,75.6,3.9,20.5,16.1,27.4,10.9,53,47,14.9,7.1,25
"38","Kontula",471,241169,14764,25171,54.4,2.7,42.9,7.1,45.1,20.1,46.4,53.6,16.1,8.1,29.4
"39","Koskela",260,226778,4022,28542,74.8,4.1,21.2,19.8,30.5,11.1,46.2,53.8,14.3,9.3,30.2
"40","Kotkavuori",311,208019,8344,38953,79.1,13.4,7.5,36.9,12.7,5.2,59,41,13.4,6.5,21.1
"41","Kruununhaka",10,264805,7222,50809,81.5,10.4,8,38.7,13.8,5.1,58.9,41.1,11,8.1,21.9
"42","Kruunuvuorenranta",494,73345,2894,35814,80.5,4.8,14.7,23.3,18.3,8.5,58.8,41.2,19.6,6.4,15.1
"43","Kulosaari",420,195209,4061,60635,73.8,15.9,10.3,38.9,16.1,5.6,51.1,48.9,18.4,7.6,22.9
"44","Kumpula",240,319686,4115,27308,79.3,3.3,17.4,20.4,20.2,10.6,53.9,46.1,11.8,17.4,17
"45","Kuninkaantammi",335,101333,3308,32160,82.4,2,15.6,17.4,16.1,7.6,59.9,40.1,20.1,6.5,13.5
"46","Kurkimäki",475,173453,2974,26343,60.9,1.4,37.7,10.3,37.3,15.4,48.4,51.6,17.4,8.5,25.7
"47","Kuusisaari",302,131093,613,148735,82.9,9.8,7.3,44.8,19.3,3.8,47.1,52.9,20.6,9,23.3
"48","Kyläsaari",213,283116,407,15329,13,79.4,7.6,2.2,7.6,NA,53.1,46.9,0,41.8,5.2
"49","Käpylä",250,244037,7732,33740,88.3,4.9,6.8,29.1,17.7,8.1,55.4,44.6,14.6,6.5,23.5
"50","Laakso",180,245498,1929,35342,79.6,12.1,8.3,28.7,13,6.4,57.9,42.1,8.8,6.4,26.9
"51","Landbo",591,40829,683,57433,78.9,14.3,6.7,26,18.1,4.2,65.7,34.3,15.1,10.4,8.8
"52","Lassila",294,259468,4657,29606,75.6,3.2,21.1,19.8,24.3,10.9,48.5,51.5,12.9,7.6,31.1
"53","Latokartano",362,153247,9385,30030,77.1,1.9,21.1,23.9,24,9,50.8,49.2,21.5,11.1,16.5
"54","Lehtisaari",303,97579,1224,72985,81.9,6.7,11.4,38.4,18.2,7.9,50.5,49.5,14.6,7.3,27.6
"55","Linjat",112,266549,9222,31548,84,4.9,11,23.3,19.5,10.7,64.2,35.8,5.4,8.4,22
"56","Länsi-Herttoniemi",431,171417,9047,31095,81.2,3.9,14.8,25.1,21.7,11.9,58.2,41.8,12.7,8.1,21.1
"57","Länsi-Pakila",341,157901,7073,48539,91.8,3.6,4.6,35.2,16.7,5.4,47.8,52.2,19.6,6.7,26
"58","Länsi-Pasila",171,253170,5413,32888,79.9,3.4,16.8,23.8,19.5,8,54.6,45.4,11.2,6.7,27.5
"59","Malmin lentokenttä",385,167709,2152,32197,84.1,2.2,13.8,14.8,26.3,9.8,52.7,47.3,17.1,8.8,21.4
"60","Malminkartano",333,177256,8912,27250,65.6,2.4,32,11.8,30.9,13.5,51.3,48.7,15.9,9.8,23
"61","Marjaniemi",455,112343,2093,65239,81.8,6.1,12.1,34.3,20.3,5.6,50.4,49.6,14.9,7.7,27
"62","Marttila",464,181229,313,42751,86.3,7.3,6.4,35.1,16.6,NA,47,53,13.4,9.3,30.4
"63","Maunula",282,198014,7266,27624,81.3,3.5,15.2,19.3,27,13.2,49.7,50.3,14.5,7.6,28.3
"64","Maununneva",332,141262,2601,44566,87.7,4.1,8.2,30.2,17.8,4.6,49.4,50.6,20.2,7.8,22.6
"65","Meilahti",150,183542,5223,35341,85.1,7.6,7.3,33.8,12.4,6.2,63.2,36.8,10.8,8.3,17.8
"66","Mellunmäki",473,183609,9367,27598,70.1,2.8,27.1,7.9,33.2,15.7,50.1,49.9,13.6,7.7,28.6
"67","Meri-Rastila",544,74025,5231,27810,54.9,2.9,42.2,14.3,35.6,18.5,51.7,48.3,17.4,8.6,22.3
"68","Metsälä",283,216046,1148,44414,87.1,7.1,5.7,33.7,20.4,7.3,50.3,49.7,17.2,9.8,22.6
"69","Munkkivuori",304,185563,4910,34452,85.2,9.1,5.6,32.6,12.2,6.3,54.3,45.7,14.7,7.3,23.7
"70","Myllykallio",313,112620,7584,49535,77.9,15,7.1,38.6,13.2,5.4,56.7,43.3,16.6,6.9,19.8
"71","Myllypuro",454,140427,12867,29551,74.3,3,22.6,15.3,30.4,12,48.8,51.2,17.2,7.4,26.7
"72","Niemenmäki",305,257527,1823,34773,78.7,6.2,15.1,25.3,14.7,5,63.3,36.7,13.3,6.9,16.5
"73","Pajamäki",461,142839,1864,29978,80.8,4.2,15,25.2,19.3,9.4,57.2,42.8,12.7,6.8,23.3
"74","Paloheinä",351,172887,5857,49200,93.1,3,3.9,35.9,16,4.6,48.6,51.4,20.6,7.8,23
"75","Patola",284,279728,10553,33576,85.1,3.6,11.3,25.6,21.5,8.6,51,49,15.3,7.4,26.3
"76","Pihlajamäki",383,166375,7317,26342,68,2,30,11.8,35.3,15.3,50.7,49.3,13.7,8.2,27.5
"77","Pihlajisto",386,171517,2411,25803,65.5,3,31.5,11.7,33.5,17.1,45.6,54.4,15.1,7.1,32.1
"78","Pikku Huopalahti",162,354691,6706,32771,76.7,4.7,18.6,21.9,24.5,10.8,50.4,49.6,14.9,8.2,26.6
"79","Pirkkola",281,184763,468,40924,91.7,5.8,2.6,37.7,18.6,5.9,43.4,56.6,15,7.7,34
"80","Pitäjänmäen yritysalue",465,173224,3916,33844,76.3,3.7,20,19.9,24.5,10.7,57.9,42.1,12.1,6.3,23.7
"81","Pohjois-Haaga",293,232483,9180,28968,75.7,4.5,19.7,21.1,26,10.8,54.7,45.3,12.2,7.5,25.6
"82","Pohjois-Pasila",172,185429,2081,31927,80.5,2,17.5,20.7,18.3,6.8,67.3,32.7,13.9,7.8,11
"83","Puistola",411,113996,6576,40536,89.4,2,8.6,21.4,20.2,6.5,50,50,19.5,7.2,23.3
"84","Pukinmäki",370,177689,8583,28457,72,2,26.1,13.3,29,12,49.4,50.6,14.8,7.5,28.3
"85","Punavuori",50,344141,9258,44785,77.2,12.3,10.5,32.9,13.9,7.1,62.5,37.5,9.6,7.3,20.6
"86","Puotila",452,109972,4816,28179,71.7,5.6,22.7,17.4,29,13.6,52.4,47.6,12.6,7.1,27.9
"87","Puotinharju",453,125386,4257,26268,60.7,3.7,35.6,12.1,36.3,18.6,49.4,50.6,14.7,6.9,29
"88","Puroniitty",592,24690,157,NA,76.4,15.9,7.6,15.4,31.6,NA,NA,NA,NA,NA,NA
"89","Rastila",547,103426,4907,31084,68.3,5.4,26.3,16.7,29.8,13.2,49.3,50.7,16.5,10.2,24
"90","Reimarla",463,147963,4981,30953,70.4,4.6,25,16.9,28.7,10.6,52.7,47.3,14.3,8.5,24.6
"91","Roihuvuori",432,153160,8249,28464,77.5,2.6,20,21.3,27.1,14.1,53.4,46.6,15.3,7.4,23.9
"92","Ruoholahti",201,255631,2863,34221,68,4.3,27.6,18.5,28.3,11.1,53,47,15.5,8.1,23.4
"93","Santahamina",510,60486,292,35471,95.9,2.7,1.4,29,9.2,NA,72.6,27.4,18.5,6.8,NA
"94","Siltamäki",401,121290,7973,30947,78.4,2.2,19.4,11.5,30,9.7,49.5,50.5,17.7,8.1,24.8
"95","Siltasaari",111,274997,2363,40540,84,4.9,11.1,30,13.6,8.3,65,35,5.6,7.4,21.9
"96","Sompasaari",103,218803,2690,41661,81.9,4,14.1,31,15.6,6.7,64.2,35.8,18.1,7.2,10.4
"97","Taka-Töölö",140,234037,15343,43793,82.1,9.8,8.1,34.2,13.5,6.5,59,41,10.2,7.4,23.4
"98","Tali",462,127565,1000,27119,65.8,2.6,31.6,12.8,30.7,16.3,50.3,49.7,18,10.2,21.5
"99","Talinranta",306,146901,1083,29169,71.6,5.2,23.3,16.7,27,11.4,53.5,46.5,14.5,12,20
"100","Tammisalo",440,155610,2257,71116,86.8,6.6,6.6,40.6,15.1,5.6,47.5,52.5,19.8,6.5,26.2
"101","Tapanila",392,217384,6288,32129,83.2,2.7,14.1,19.9,24.4,10.2,53.6,46.4,17.6,7.3,21.5
"102","Tapaninvainio",391,160071,8040,39951,88.8,4.2,7,20.6,20.2,6.7,50.3,49.7,16.7,6,27
"103","Tapulikaupunki",402,101456,8741,30146,68.5,1.6,29.9,12.7,33.3,13.9,50.2,49.8,17.4,8.6,23.8
"104","Torkkelinmäki",113,291796,6735,30719,83.7,4.8,11.5,24.3,15.5,10.2,71.7,28.3,3.3,9.5,15.5
"105","Torpparinmäki",352,130224,2785,41945,88.2,3.3,8.5,24.6,22.1,5.4,49.2,50.8,22.8,7.9,20.1
"106","Toukola",231,316161,1426,32312,87.2,5,7.8,28.9,20.5,11.9,56.6,43.4,12.9,7.4,23.1
"107","Tullisaari",493,114477,1373,33776,78.4,5.2,16.5,23.3,18.3,9.8,59.4,40.6,14.3,7.8,18.4
"108","Tuomarinkartano",353,150865,287,NA,90.2,0.7,9.1,16.8,29.7,9.6,50.9,49.1,29.6,10.5,9.1
"109","Töyrynummi",403,146697,3406,37451,83.2,2.8,13.9,15.5,24.3,8.2,50.8,49.2,19.7,6.8,22.7
"110","Ullanlinna",70,425654,10774,67906,71.9,19.8,8.3,36.7,13.6,6,57,43,11.8,7.7,23.5
"111","Vallila",220,446458,10714,32541,85.9,4.1,10,26.5,16.2,9.1,64.7,35.3,10.2,9.8,15.4
"112","Vanha Munkkiniemi",301,170938,9280,54015,80.1,13.4,6.5,38.5,14.3,6,49.5,50.5,14.3,7.3,28.8
"113","Vanha Ruskeasuo",161,260054,2798,35185,82.7,9.5,7.8,31.3,13.6,8.2,55.5,44.5,10.6,11.5,22.4
"114","Vanhakaupunki",270,237321,765,30965,87.8,3.1,9,27.2,15.8,10.5,59.7,40.3,18.7,8.8,12.8
"115","Vartioharju",451,128268,6235,39013,83.4,6.6,10,20.6,23,7.1,52.1,47.9,16.8,8,23.1
"116","Vattuniemi",312,141351,8815,56309,79.3,11.7,9,38.5,13.9,5.1,53.1,46.9,15.6,5,26.3
"117","Veräjälaakso",287,185948,1182,28853,74.4,1.3,24.4,13.8,27.9,12.2,56.7,43.3,19.2,7.4,16.8
"118","Veräjämäki",285,222082,3169,43547,84.9,3.7,11.4,33.1,19.5,7,51.9,48.1,17.8,7.4,23
"119","Vesala",472,266912,7202,27995,64.7,2.3,33,8.9,36.5,16.3,49.7,50.3,16.4,9.5,24.4
"120","Viikin tiedepuisto",363,165864,1200,20884,62.1,2.1,35.8,17.7,23.5,5.2,51.7,48.3,7.1,28.6,12.7
"121","Viikinmäki",364,184340,3122,32731,75,2.2,22.7,19.8,23.4,10.8,55.3,44.7,20.2,7.4,17.2
"122","Viikinranta",361,137405,1280,46721,90,4.3,5.7,37.1,11.2,4.4,56.7,43.3,17.3,4.9,21
"123","Vilhonvuori",101,281530,6845,33080,81.5,3.4,15.1,23.3,18.9,9.1,64.5,35.5,5.6,7.8,22.1
"124","Yliskylä",491,139983,13449,33353,80.1,5.5,14.5,21.9,22.2,10.7,50,50,16.4,7,26.6
"125","Ylä-Malmi",381,211298,6239,26576,65.5,1.8,32.7,9.4,36.9,16.8,50.8,49.2,14.9,7.8,26.5
"126","Östersundom",550,36591,440,49242,73.9,18.2,8,15.9,28.2,15.3,48.9,51.1,13,9.1,29.1
