"alue","lat","lon"
"Ala-Malmi",60.245066562602,25.0204588394952
"Alppikylä",60.259146370031,25.0666428817819
"Alppila",60.1904079835966,24.9396737863242
"Arabianranta",60.2044634260587,24.9804522585762
"Aurinkolahti",60.2033062653103,25.1555167625126
"Eira",60.1555934754592,24.9389111361281
"Etelä-Haaga",60.2156244312949,24.8918441467735
"Etu-Töölö",60.1739408247103,24.9083877731123
"Hakuninmaa",60.2535606198399,24.8872672332162
"Harju",60.1880397232713,24.9526354063306
"Heikinlaakso",60.2703318096991,25.0717455389896
"Hermanninmäki",60.1940687878905,24.9693889819324
"Hernesaari",60.149518435217,24.9285305623462
"Herttoniemen yritysalue",60.1989821329995,25.0435935457233
"Herttoniemenranta",60.1886378392096,25.034120732386
"Hevossalmi",60.1621735258028,25.0460782643
"Honkasuo",60.2553829953277,24.8413401151515
"Itä-Pakila",60.2453046776646,24.9599135103283
"Itä-Pasila",60.2022931150304,24.9396600337315
"Itäkeskus",60.208000981127,25.0786559846831
"Jakomäki",60.2591004493347,25.0783117441321
"Jätkäsaari",60.1524233790833,24.9100040787466
"Jollas",60.1633243654878,25.0809894554418
"Kaartinkaupunki",60.1657673697927,24.9500736660841
"Kaivopuisto",60.1583652596627,24.9751608246221
"Kalasatama",60.1893237960873,24.9824472582363
"Kallahti",60.181687769962,25.1405507221317
"Kamppi",60.1660869612017,24.9311080387182
"Kannelmäki",60.2402035856646,24.8811774420576
"Käpylä",60.2145994795057,24.9491788915502
"Karhusaari",60.2507612964313,25.2232488721742
"Katajanokka",60.1660298404505,24.9800151914544
"Keski-Pasila",60.2007263278034,24.9299463179962
"Keski-Vuosaari",60.2163969536453,25.1402432056011
"Kivihaka",60.2129463411067,24.9067414033568
"Kivikko",60.2407050015805,25.059899475033
"Kluuvi",60.1737515431351,24.9421495629335
"Konala",60.2399254812547,24.845163321766
"Kontula",60.2343243284534,25.0850729419228
"Koskela",60.2193855517594,24.968505313662
"Kotkavuori",60.1629796586446,24.8848846684942
"Kruununhaka",60.1729512521832,24.9624731934143
"Kruunuvuorenranta",60.1668280754554,25.0181814266206
"Kulosaari",60.1857263901026,25.006497649563
"Kumpula",60.2075599518495,24.959562723659
"Kuninkaantammi",60.2617804163404,24.8910363027881
"Kurkimäki",60.2309933559274,25.0708151195333
"Kuusisaari",60.1879316311802,24.8585954969437
"Kyläsaari",60.1990124957959,24.9745122674259
"Laakso",60.193944900376,24.91338959797
"Landbo",60.2721673399846,25.1859891252194
"Länsi-Herttoniemi",60.2031443074063,25.0241938378263
"Länsi-Pakila",60.2414768301598,24.9309982287449
"Länsi-Pasila",60.2019038735329,24.9204166983117
"Lassila",60.2301300118582,24.8790545436093
"Latokartano",60.228130229031,25.0366335087521
"Lehtisaari",60.1762168109255,24.8594737430929
"Linjat",60.1829706135271,24.9440107342378
"Malmin lentokenttä",60.2536735398402,25.0409966994059
"Malminkartano",60.2474202195173,24.8592877868396
"Marjaniemi",60.2003240568441,25.0878156488586
"Marttila",60.2280341464541,24.8672254690697
"Maunula",60.2306977871207,24.9326669172987
"Maununneva",60.2447437385757,24.9023263710981
"Meilahti",60.1852491277348,24.8904643509694
"Mellunmäki",60.2326323558049,25.1223660203502
"Meri-Rastila",60.1945892740736,25.1094794899504
"Metsälä",60.2230253151566,24.9390344209034
"Munkkivuori",60.2085775047826,24.8712999906711
"Myllykallio",60.155021924672,24.858575484836
"Myllypuro",60.2211972435522,25.0629642359436
"Niemenmäki",60.2046331626058,24.8846688389035
"Östersundom",60.2584380507774,25.1937582923757
"Pajamäki",60.2193053915552,24.8560976724876
"Paloheinä",60.2514798286352,24.9318500156456
"Patola",60.232362330807,24.9590795785065
"Pihlajamäki",60.2361449827581,25.0107339766166
"Pihlajisto",60.233726949795,24.9972052777346
"Pikku Huopalahti",60.2019235562102,24.894337943503
"Pirkkola",60.2331872364273,24.9127882470762
"Pitäjänmäen yritysalue",60.2202550639046,24.8694255269338
"Pohjois-Haaga",60.2268954341685,24.8982637574424
"Pohjois-Pasila",60.2142045619638,24.9259152964805
"Puistola",60.2712641153479,25.0484783589524
"Pukinmäki",60.2447789917057,24.9860825160408
"Punavuori",60.160853089218,24.9366784818019
"Puotila",60.2103677321044,25.1018981455715
"Puotinharju",60.2154873069498,25.0832864230323
"Puroniitty",60.2853450482927,25.2317367462841
"Rastila",60.2098805707244,25.1248956849234
"Reimarla",60.2285906169337,24.8536433381256
"Roihuvuori",60.1989625444122,25.0586322410475
"Ruoholahti",60.163850732988,24.9061519628819
"Santahamina",60.1397179676627,25.0692295182664
"Siltamäki",60.2764250249377,24.9975784966405
"Siltasaari",60.1786977138223,24.9507755859335
"Sompasaari",60.1790139728934,24.9747820083046
"Suomenlinna",60.1402676890803,24.9984438027644
"Taka-Töölö",60.1836045259025,24.9202366160635
"Tali",60.2135676742424,24.8549626404769
"Talinranta",60.2065196380952,24.8578064295055
"Tammisalo",60.191044717346,25.0636030266327
"Tapanila",60.2628401433868,25.0226809602937
"Tapaninvainio",60.2600051749333,24.9926442720578
"Tapulikaupunki",60.2785410977338,25.0264985878743
"Torkkelinmäki",60.1851921698132,24.9565204559559
"Torpparinmäki",60.2606785106909,24.9511221698054
"Toukola",60.2079120665579,24.9712574801831
"Töyrynummi",60.2705220008352,25.0030345402865
"Tullisaari",60.178723189569,25.0305418824195
"Tuomarinkartano",60.2560613957423,24.9651698896651
"Ullanlinna",60.1548668398642,24.9474395054761
"Vallila",60.1951411993203,24.9538455998176
"Vanha Munkkiniemi",60.1976001530928,24.8683580728443
"Vanha Ruskeasuo",60.202341255637,24.9081930363719
"Vanhakaupunki",60.2139926269732,24.9789886995823
"Vartioharju",60.2206661443514,25.1077270964506
"Vattuniemi",60.1483060906118,24.8844015995899
"Veräjälaakso",60.2337590798977,24.9838497201027
"Veräjämäki",60.226936012137,24.9745511692849
"Vesala",60.2386979996675,25.0981357270629
"Viikin tiedepuisto",60.2268691148364,25.0161127452792
"Viikinmäki",60.2268453885799,24.9909400289289
"Viikinranta",60.2150645149615,25.0054887648364
"Vilhonvuori",60.1824024409002,24.9621070550338
"Ylä-Malmi",60.2534607664092,25.0040277648486
"Yliskylä",60.175398837792,25.053208824997
